Sex,Age,Current users of ad blockers,Past users of ad blockers,kab_1,kab_2,kab_3,kab_4,aoa_1,aoa_2,aoa_3,aoa_4,poa_1,poa_2,poa_3,poa_4,coa_1,coa_2,coa_3,coa_4,eoa_1,eoa_2,eoa_3,eoa_4,ioa_1,ioa_2,ioa_3,ioa_4,oac_1,oac_2,oac_3,oac_4
female,42,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-3,0,0,-3,-3,0,-2,0,2,3,3,1,3,3,3,3,3
female,21,1,0,2,2,2,2,0,0,1,1,-2,-1,-2,-2,2,2,2,-2,1,1,2,2,2,2,2,2,2,2,2,2
male,55,0,1,1,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-3,-3,0,-3,-2,-2,3,3,3,3,3,3,3,3
male,35,0,0,-3,-1,0,0,-2,-2,-1,-2,-2,-3,-3,-2,0,0,-3,-2,0,-2,-1,2,1,0,1,1,2,2,1,3
female,43,0,0,-2,-1,1,0,-1,-1,-1,-1,0,-2,-1,-1,-1,-1,-1,-1,-1,-2,0,1,1,1,1,1,2,1,3,2
male,55,0,0,-2,-2,0,1,-1,-2,-2,-2,-2,-3,-2,-2,0,-1,-2,-2,0,0,1,0,2,2,1,2,2,3,2,3
female,51,1,0,2,2,3,1,0,0,-1,-2,0,-1,-2,-2,-1,0,-2,-1,1,0,1,1,2,2,2,2,2,3,2,3
male,32,0,0,-2,-1,0,-2,-2,-1,-1,-2,-3,-3,-3,-3,-1,-1,-1,-1,1,-2,-2,2,2,2,2,2,1,2,2,2
male,53,0,0,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,1,3,3,-3,3,3,3,3,3
female,18,1,0,2,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-2,-3,-2,-3,-3,2,3,3,3,3,3,3,3,3
male,48,0,0,-3,-3,-3,-3,2,-1,1,-3,-3,-3,-3,-3,-3,1,-3,-3,2,0,3,2,3,3,1,3,3,3,3,3
male,36,1,0,3,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,1,-1,0,1,3,-1,1,3,3,2,-1,3,3,3,3,3
female,60,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,1,-2,1,1,3,3,3,3,3,3,3,3
female,43,0,0,-3,-3,0,0,-2,-2,-3,-3,-2,-1,-3,-3,0,-1,-2,-2,-1,-2,2,-1,3,3,2,3,3,3,3,3
female,21,0,1,1,1,2,0,1,0,0,0,-1,-1,-2,-2,1,0,-1,-2,-1,-1,1,-2,1,1,-2,1,-2,-2,-2,-2
female,39,0,1,-1,-1,0,0,0,1,-1,-1,-1,1,0,0,1,-1,-1,-1,2,2,2,2,1,1,0,1,0,1,2,2
female,70,0,0,0,0,0,0,0,0,-2,-1,-3,-3,-3,-3,1,1,1,0,0,-2,0,0,1,3,3,3,3,3,3,3
male,52,1,0,1,2,0,-1,0,0,-1,-2,0,-1,-3,-1,-2,-1,-1,-2,-2,-2,-2,2,1,2,2,1,3,3,3,3
male,59,1,0,3,3,3,-3,-3,3,-3,-3,-3,-3,-3,-3,1,1,1,1,-3,-3,0,-1,3,3,3,3,3,3,2,3
male,35,0,0,0,0,0,0,0,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,3,3,-3,-3,-3,-3
female,43,0,0,-3,0,0,-3,1,1,1,0,-2,-1,-3,-3,-1,0,0,-1,0,0,0,0,3,3,3,3,3,3,3,3
female,41,1,0,2,2,2,2,1,1,1,1,0,1,-1,0,1,1,1,1,1,1,1,2,0,0,0,0,1,0,1,1
male,59,0,1,1,1,2,0,-2,-3,-3,-2,-2,-3,-3,-3,-2,-2,-3,-3,0,-1,-2,1,2,2,1,1,2,2,2,2
male,35,1,0,2,2,2,2,-2,-2,-2,-2,-3,-3,-3,-3,1,-2,-2,-2,0,-3,-3,1,3,2,2,2,3,3,3,3
male,41,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,2,1,1,0,0,-3,-2,-2,-1
male,48,0,1,-3,0,3,3,2,0,0,0,0,0,-1,0,3,2,1,1,1,0,3,3,2,2,0,3,1,2,2,2
male,17,1,0,1,1,1,1,1,1,1,1,-2,0,0,-3,1,0,0,0,1,0,1,2,0,1,0,1,2,1,1,1
female,37,1,0,3,3,2,2,0,1,1,-1,-2,-2,-2,-3,0,1,0,0,1,-1,0,2,1,1,0,0,2,3,2,2
female,30,0,0,-3,-3,1,0,1,-1,-2,-2,-2,-1,-2,-3,0,-1,-2,-2,2,-2,2,3,3,3,-1,3,3,3,3,3
female,63,0,0,-2,2,2,2,-2,-2,-3,-3,-3,-3,-3,-3,-1,-2,-2,-2,2,3,3,1,3,3,2,3,2,2,3,3
male,68,0,0,-2,-2,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,0,2,2,3,3,3,3,2,2
female,35,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,2,3,3,3,3,3,3,3,2
male,57,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,3,3,-3,-3,-3,-3,3,3,3,3
female,19,0,1,-1,1,2,0,0,0,-1,0,-2,-3,-3,-3,0,-3,-2,-2,0,-2,-2,2,0,3,2,2,3,2,3,3
male,35,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,-1,-1,-1,1,0,0,1,0,0,0,1,1,1,1,1
male,24,0,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,2,-3,1,3,3,3,3,3,3,3,3,3
female,36,1,0,-1,1,-1,2,-2,-2,-3,-2,1,-3,-3,-3,-1,-1,-3,-3,0,-2,-1,1,2,2,2,2,2,0,3,2
male,21,1,0,2,2,2,-1,-2,-3,-2,-3,-2,-1,-3,-1,-2,-2,-2,-3,1,0,1,1,2,2,-1,2,3,3,3,3
female,49,0,0,-3,-3,3,2,-1,-1,-1,-1,-1,0,-1,-1,2,1,-1,-1,0,-2,-1,2,-2,-2,-2,-2,2,1,1,2
female,49,0,0,-3,-3,2,3,-1,1,0,-1,-3,-3,-3,-3,1,-2,-1,1,2,-3,1,3,1,1,1,2,2,2,2,2
female,63,0,0,-2,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,-2,-2,0,0,2,2,2,2,2,2,2
female,65,0,0,2,2,2,2,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
female,46,0,1,3,3,3,2,-2,-2,-1,-2,-1,-2,-3,-3,0,-2,-2,-2,0,-2,0,2,2,3,0,2,2,2,2,2
female,40,1,0,-2,-2,2,2,-3,-3,-2,-2,-3,-2,-3,0,-2,-3,-3,-3,0,-3,0,2,3,3,1,3,3,3,3,3
male,36,0,0,-3,-3,-3,-3,0,-1,0,-1,-3,-3,-3,-2,0,-1,0,0,0,-1,-1,1,1,1,1,1,3,2,3,3
female,42,0,0,-1,-1,2,-1,-1,-1,-1,-3,-3,-3,-3,-3,3,-1,-1,1,-1,1,1,1,0,0,3,3,2,3,2,2
male,39,0,0,-3,-3,-3,-3,0,0,0,-3,0,-3,-3,-3,-3,0,0,-1,0,0,0,3,1,1,-2,1,0,0,0,0
male,51,0,0,-3,-3,2,2,0,1,-1,-2,-2,-1,0,-2,1,1,0,-1,1,0,1,1,3,3,2,2,3,3,3,3
male,30,1,0,3,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,2,-2,0,2,3,3,3,3,3,3,3,3
male,35,0,0,-1,-2,0,0,1,1,0,-1,0,-1,0,-3,2,2,1,2,0,-2,-1,2,1,2,1,2,1,0,1,0
female,32,0,0,0,-1,-1,1,0,0,-1,-1,-1,-3,-3,-2,0,-1,-2,-2,2,0,1,2,0,3,2,3,2,1,1,2
female,53,0,0,-1,-1,-1,-1,-1,0,-1,-2,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,2,0,2,-1,2,2,2,1,1
male,38,0,0,-1,0,3,0,-2,-3,-2,-2,-3,-2,-3,-3,-2,-2,-2,-2,-2,-3,0,0,2,2,-2,0,3,3,3,3
male,64,0,0,-3,-3,0,0,0,0,0,0,0,-1,-3,-3,3,3,3,3,0,-3,-3,0,3,3,3,3,-3,-3,-3,-3
female,50,0,0,0,-1,0,2,-2,-1,0,-3,-3,-3,-3,-3,0,0,-2,-1,0,-3,0,2,3,3,1,1,3,2,2,3
male,64,0,0,-3,-3,-3,-3,-2,-2,-1,-3,-2,-3,-3,-3,-3,-2,-2,-2,0,0,0,3,-2,-2,-2,-2,1,2,2,1
male,36,1,0,0,1,0,-1,-2,-3,-2,-3,-3,-3,-3,-3,-1,-2,-3,-3,-3,-3,-2,-1,3,3,3,3,-2,-2,-2,-2
male,38,1,0,3,3,2,3,0,-3,-3,-3,-3,-2,-3,-3,1,0,0,0,0,-1,1,0,2,2,2,1,3,2,3,3
male,66,0,0,-3,-3,-1,0,0,-3,-3,-3,-2,-3,-3,-3,-3,0,0,0,-3,-3,0,3,-3,-3,-1,-1,3,2,3,3
male,37,1,0,3,3,3,1,0,1,1,-1,-1,-2,-1,-3,-1,1,0,0,1,0,1,3,1,2,-1,2,3,2,2,2
female,43,0,0,-1,0,1,1,-2,-2,-2,-2,-3,-3,-3,-3,0,-2,-2,-1,0,0,0,0,2,1,1,1,3,3,3,3
female,31,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-2,-2,-3,-3,-3,-3,3,3,3,3,3,3,3,3
male,53,0,0,-3,0,0,0,-1,-1,0,-1,-2,-2,-2,-1,1,1,1,1,1,-1,1,1,1,1,1,2,2,2,2,3
female,49,0,1,-2,0,1,3,-2,-2,-2,-3,-3,-3,-3,-3,-2,-2,-3,-3,0,-2,0,2,3,1,1,0,2,2,2,2
female,39,0,0,1,2,2,2,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,1,-1,-1,-1,-1,-2,-2,-2,-2
female,44,0,0,-3,0,1,0,0,0,0,0,1,0,-1,-2,-1,-1,-1,-1,0,0,0,1,1,2,1,1,2,2,3,2
female,59,1,0,2,3,2,3,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-1,1,0,0,2,3,3,3,3,3,3,3,3
male,44,0,1,-3,1,3,3,1,1,1,0,-1,3,-3,1,1,1,-1,-1,2,2,2,3,1,0,0,0,3,2,3,3
female,22,1,0,2,3,0,3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-2,-2,-2,-1,-2,0,2,3,2,3,3,3,3,3,3
female,22,0,0,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-2,0,-3,-1,2,3,2,1,3,3,3,3,3
male,60,1,0,3,3,0,3,-2,-2,-3,-3,-3,-2,-3,-2,1,1,0,1,0,-3,-2,1,3,2,2,3,3,3,3,3
male,60,1,0,2,1,0,-1,0,-1,-1,-1,-1,-2,-2,-2,0,-2,-1,-1,2,-1,2,2,2,1,1,1,2,2,2,2
male,35,0,0,-3,-3,-3,-3,0,0,0,-2,-1,-1,-2,-2,1,-1,-1,-1,0,-1,-1,2,2,2,2,2,2,1,2,2
female,37,0,0,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2,-2,-2,1,-2,-2,2,2,2,2,2,3,3,3,3
female,52,1,0,2,1,1,0,0,-1,-1,-2,0,-2,0,0,-1,0,0,0,0,-3,0,1,1,1,-1,1,3,2,3,3
male,45,1,0,3,3,3,3,-3,-3,-2,-3,-3,-3,-3,-3,0,-2,-2,-2,0,-3,0,0,3,3,3,3,3,3,3,3
female,49,1,0,2,3,3,0,1,0,1,1,-1,1,0,1,2,1,0,-1,0,0,2,2,1,2,2,2,2,2,3,3
male,43,0,0,-3,-3,-3,-3,1,1,-1,-2,-3,-3,-3,-3,0,0,0,0,0,0,0,2,1,1,1,1,2,0,2,1
female,69,0,0,-3,-3,-3,3,3,3,2,1,0,1,1,1,3,2,2,2,3,2,3,3,1,1,0,0,0,1,1,1
female,45,0,0,-2,0,-2,-2,0,1,0,1,-2,-3,-2,-2,1,1,-1,0,1,0,1,2,1,1,1,1,2,2,1,0
female,53,0,0,-3,-3,-3,-3,-1,-2,-2,-2,2,0,-1,0,0,-2,-2,-2,0,0,0,0,1,2,1,2,1,1,1,1
male,30,0,0,-2,-2,-2,0,0,0,-1,-1,-3,-2,-2,-3,0,0,-3,-3,-2,-2,-3,1,0,1,-3,1,2,3,3,2
female,25,0,0,-1,0,-1,-1,0,-1,0,-2,-1,-2,-1,-2,2,0,-1,-1,0,-1,0,3,3,3,3,2,3,3,2,3
male,47,1,0,2,2,-1,-3,-1,-1,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,2,-1,0,3,2,2,2,3,2,3,2,2
male,21,1,0,3,3,3,3,2,0,-3,-3,-3,1,-1,-3,-3,-3,-3,-3,0,-3,-3,3,3,3,3,3,3,3,3,3
male,22,0,0,1,2,2,2,0,0,0,-1,-1,0,-1,-2,-1,-2,-2,-1,1,-1,0,2,1,2,1,2,2,0,1,1
female,46,0,0,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-3,2,3,3,1,1,-1,3,3,3,3
male,71,0,0,-3,-3,-3,-3,0,0,0,0,0,3,-1,1,1,0,0,-2,0,0,2,0,3,1,1,1,0,2,1,1
female,25,1,0,2,2,2,0,-2,-2,-2,-2,-1,-3,-2,-2,-1,-2,-2,-2,-2,-2,-2,2,2,2,1,3,3,3,3,3
male,67,0,0,-3,-3,0,0,-1,-2,-1,-2,-2,-3,-3,-3,-2,-2,-2,-2,-2,-3,0,0,2,3,1,3,3,2,2,3
female,31,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,3,3,3,3,3,1,3,3
female,46,1,0,-2,-1,2,-1,-1,-2,-1,-2,-2,-3,-3,-3,2,2,1,1,0,-2,-2,1,3,1,-2,1,2,2,2,2
female,29,0,0,-3,0,0,0,0,-1,-3,-3,-3,-3,-3,-3,-1,-1,-2,-2,0,-2,-3,0,3,1,1,3,3,3,3,3
male,20,1,0,3,3,3,0,0,1,-1,-1,1,-1,-2,-3,1,1,-1,-1,-2,-2,0,2,1,1,0,1,2,2,2,1
male,14,1,0,3,3,3,0,-3,-3,-3,-3,-2,-3,-3,-3,-1,-2,-1,-1,-1,-2,0,2,3,3,-1,3,1,2,2,2
male,54,0,0,-3,1,3,0,-1,0,-1,-3,-1,-3,-2,-2,0,-1,0,-2,0,0,-3,3,3,3,-3,3,1,1,3,3
male,40,0,0,-3,-3,0,0,-3,-3,-3,-3,-3,-3,-3,-3,0,0,-3,-3,-3,-3,0,0,3,3,3,3,3,3,3,3
male,19,1,0,2,3,3,3,-2,-3,-2,-3,-2,-2,-3,3,0,-2,-2,-1,0,-1,0,2,2,1,2,1,2,1,1,2
male,71,0,0,-3,-3,-3,-3,-2,-2,-2,-3,-2,-3,-3,-3,-2,-2,-2,2,2,0,0,2,3,3,2,2,2,2,2,3
male,14,1,0,3,3,3,1,0,-2,-2,0,-2,-2,-3,-3,0,-2,-2,0,3,-2,-2,3,3,2,2,3,3,2,3,2
female,52,1,0,1,1,3,3,-3,-3,-3,-2,-3,-2,-3,-3,-2,-1,-2,-3,0,-3,-2,2,3,3,3,2,3,2,3,3
female,35,0,0,-1,0,2,-1,-2,-2,-2,-3,-2,-2,-2,-2,3,2,-1,-1,0,-2,-1,1,3,3,3,3,2,2,2,2
male,34,1,0,3,3,3,3,0,-1,-1,-2,-2,0,-2,-3,0,1,0,0,0,-2,-2,2,1,1,0,1,3,3,3,3
male,42,0,0,-3,0,0,0,-2,-2,-1,-1,-1,0,-2,0,-2,-2,-2,-2,0,-1,-1,1,1,1,1,1,1,1,1,1
male,56,0,0,-1,-1,-1,-1,1,2,2,1,1,0,0,-1,2,1,2,2,2,1,2,3,-1,-1,0,-1,0,-1,1,1
male,28,0,1,2,3,2,2,-2,-2,0,-2,-2,-3,-3,-3,-1,-2,-2,-2,0,-2,-2,2,0,-1,-2,-2,0,2,0,-2
male,53,1,0,2,2,2,1,1,1,1,0,-1,0,-1,0,1,1,1,1,1,1,2,2,1,-1,-1,-1,2,2,2,2
male,52,0,0,-1,-1,-1,-1,1,1,2,-1,-1,-2,-2,-3,1,2,0,1,2,-1,1,2,-1,-1,-2,1,-1,1,2,2
male,50,0,0,1,1,0,0,0,0,0,1,0,-1,0,0,2,0,0,0,1,1,2,0,1,1,1,1,3,2,2,3
female,42,0,0,-3,-2,-1,-1,-1,-1,-2,-3,-3,-3,-3,-3,-1,-2,-1,-2,0,-1,1,0,1,2,1,2,3,3,3,3
female,38,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,3,3,3,3,3,3,3,3,3,3
male,56,1,0,-2,0,2,0,-2,-2,-2,-2,-2,-2,-3,-3,0,-2,-2,-3,0,-3,0,3,2,2,2,2,2,3,3,3
male,52,0,0,-3,-3,-3,-3,-1,-2,-2,-3,-3,-3,-2,-3,-3,-3,-3,-3,1,-3,1,1,3,3,1,3,3,2,3,3
female,55,1,0,0,1,3,1,0,0,-3,-3,-3,-3,-3,-3,-3,2,0,0,1,-3,0,1,3,2,2,3,3,3,3,3
male,27,1,0,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,0,-1,-2,-2,-2,1,1,0,2,3,3,-3,3,3,3,3,3
female,56,0,0,-2,0,0,0,-2,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,0,2,2,2,2,3,2,3,2
female,45,0,0,-2,0,0,0,-2,-2,-2,-3,-3,-3,-3,-3,-3,-2,-3,-2,-1,-2,-2,2,2,2,2,2,1,-1,-2,3
female,44,1,0,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
female,21,1,0,2,3,3,0,0,0,0,-1,0,-1,-1,1,0,1,-1,-2,-1,-2,2,3,3,3,1,3,3,2,1,3
male,55,1,0,-2,-2,-3,1,-1,0,1,-1,-2,-3,-1,-3,-1,0,-2,-2,-2,-2,1,2,0,1,-2,2,2,1,1,1
female,46,0,0,0,0,0,-1,-1,-1,-1,-2,-3,-2,-3,-3,1,0,-2,-3,0,-3,1,0,1,2,1,2,3,3,3,3
female,25,1,0,3,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,0,-2,-3,-3,0,-3,-3,2,3,3,3,3,3,3,3,3
male,44,0,0,-1,-1,-1,-1,0,0,-1,-3,-2,-3,-3,-3,0,0,0,0,0,-3,0,2,3,3,3,3,3,3,3,3
male,33,0,0,-2,0,0,0,1,1,-1,0,-3,-2,-1,-3,-1,-1,1,1,0,0,1,3,0,3,3,3,3,3,3,3
male,43,1,0,2,2,1,2,1,1,1,0,1,2,1,1,1,-1,-1,-1,2,0,0,2,0,1,0,2,2,2,2,2
male,18,0,0,-3,-3,-3,-3,-2,1,1,1,-2,-3,-1,-2,-1,-2,-2,-3,3,1,1,3,-2,2,1,1,1,2,1,-1
male,60,0,0,-3,-2,-2,0,-2,-3,-3,-3,-3,-3,-3,-3,-1,-2,-2,-2,-2,-2,-1,1,2,2,2,1,2,2,2,2
male,22,0,0,-3,-3,-3,-3,-3,-3,-2,-3,-2,1,-3,-3,-1,-3,-2,-3,-1,-3,1,3,3,3,2,3,3,3,3,3
male,48,0,0,-3,-3,-3,-3,0,-1,-2,-3,0,-3,-3,-1,0,-2,-2,-2,0,0,0,2,3,3,3,3,3,3,3,3
female,36,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-1,-3,-3,-3,-2,-3,1,0,3,3,3,3,3,3,3,3
female,38,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,-1,-1,-2,0,2,2,2,3
male,42,0,0,-3,-3,-3,-3,0,-3,-3,-3,2,2,0,-2,0,0,0,0,0,-3,-2,1,0,3,-3,3,2,1,2,1
male,53,1,0,2,3,2,0,-2,-1,-2,-2,-1,1,-2,-2,-2,-1,-1,-1,1,0,2,3,1,-1,-1,-1,1,-1,0,0
female,47,0,0,-3,-2,2,-2,-3,-3,-3,-3,-3,-2,-2,-3,1,2,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3
male,52,0,0,-3,0,3,3,0,-3,-3,-3,-2,-1,-2,-2,-3,1,-3,-3,-1,-3,0,1,3,3,2,3,3,3,3,3
female,43,0,0,-3,-3,0,0,-1,0,-1,-2,-3,-3,-3,-2,-2,0,0,0,-2,-3,0,3,2,2,-2,1,3,3,3,3
female,36,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,-3,-3,0,-3,0,3,3,3,2,3,3,3,3,3
male,41,0,0,-2,-2,-2,-2,0,0,0,-1,1,0,-2,1,0,1,1,1,1,0,1,2,3,3,3,2,2,1,2,2
female,35,0,0,-3,-3,-3,3,-2,-2,-2,-2,-3,-3,-3,-3,-2,0,0,0,0,-3,0,2,3,3,-3,3,3,3,3,3
female,41,0,0,-3,-3,-3,1,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,2
female,63,1,0,-3,-3,3,-2,-1,-2,-2,-2,1,-2,-1,-2,-1,-2,-2,-2,1,0,1,2,2,2,2,2,2,2,2,2
female,43,0,0,-3,-3,1,0,0,1,0,-1,-1,-1,-2,-1,1,1,0,0,0,-1,0,1,1,1,1,1,1,1,1,1
female,29,1,0,3,3,3,3,0,0,0,0,-3,-3,-3,-3,0,0,0,0,0,-3,1,2,3,3,0,3,3,3,3,3
male,53,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,1,-2,0,0,0,0,0,0,3,3,3,3
female,38,1,0,2,2,2,2,-3,-3,-2,-1,-3,-2,-3,-1,-1,-2,-1,-1,1,-3,0,1,3,3,3,3,3,2,3,2
female,59,0,0,-3,0,0,0,0,0,-2,-1,0,-3,-3,-3,0,0,0,-1,-2,-2,0,0,1,-1,-1,1,2,2,3,2
female,57,1,0,3,3,3,3,1,0,1,1,1,2,1,3,0,1,2,1,0,1,0,3,3,3,3,3,2,2,2,2
female,24,0,0,-2,-2,-2,-1,-1,-1,-2,-2,-1,0,-2,-1,0,-2,-2,-2,0,-2,0,0,-3,-3,-1,-3,2,2,1,2
female,49,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,26,1,0,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,2,2,0,0,2,3,1,2,2
female,41,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,2,2,2,2
female,60,0,0,-3,0,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,3,3,0,3,3,3,3,3
male,53,0,0,-2,-2,2,0,0,-2,-1,-1,-3,-3,-3,-3,0,0,-2,-2,1,1,1,3,3,3,3,3,3,3,3,3
female,37,0,0,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,0,-3,-1,0,2,2,-1,2,-2,-2,-2,-2
female,36,0,0,-3,-3,-2,-2,0,-1,-2,-2,-3,-2,-2,-2,-1,-1,-1,-1,2,-2,1,2,3,3,1,3,3,2,2,3
male,36,0,1,1,1,2,1,0,-1,-2,-2,0,-2,0,-1,0,-2,-2,-2,-1,-2,-1,1,2,2,2,3,2,3,2,3
male,41,0,1,1,2,0,1,1,2,0,1,-1,-2,-2,-2,1,0,-1,-1,2,0,3,3,-2,1,-2,1,2,3,1,1
female,47,0,0,-3,-3,-2,-3,-1,-1,-1,-2,-2,-2,-3,-3,0,-2,-2,-2,0,-2,-2,1,1,2,1,2,0,1,1,-1
female,23,0,0,-3,-3,-3,-3,-1,-2,-2,-2,-2,-2,-2,-3,0,-3,-2,-3,0,-3,3,3,2,1,2,3,3,1,3,3
female,46,1,0,2,1,2,2,-2,-2,-2,-3,-2,-2,-2,-3,-2,-2,-2,0,0,-2,-2,1,2,3,2,3,2,2,3,2
female,46,0,0,-3,-3,-3,-3,1,1,1,-3,1,0,1,0,1,0,-3,-3,0,0,0,1,3,2,1,2,1,2,1,3
female,55,0,0,-3,-3,3,-3,-2,-2,-2,-3,1,-3,-3,1,-1,-1,-1,-1,1,3,3,2,3,3,3,3,-3,-3,-3,-3
male,63,0,0,-3,-3,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,2,3,0,0,0,0,0,-2,0,0
female,51,0,1,-2,-3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,0,2,2,3,3,3,3,3,3,3,3
male,48,0,1,1,2,0,1,1,1,1,1,-1,0,0,-1,-1,-1,-2,-1,1,0,-1,3,1,1,1,1,2,2,2,1
female,56,0,0,-3,0,0,0,0,1,0,-1,0,-2,-3,-3,1,1,-1,-1,0,-1,1,3,2,2,2,2,0,2,2,1
female,34,0,1,0,-1,2,2,-1,-2,-2,-1,-2,-3,-2,-1,1,-2,-2,-3,1,-2,0,1,3,3,1,2,2,3,2,2
male,41,0,0,1,1,1,1,-1,-1,-1,-1,-2,-3,-3,-3,1,1,1,1,3,1,3,0,3,3,3,3,3,3,3,3
male,39,0,0,-3,-3,0,-1,0,1,-1,0,0,-2,-3,0,2,-2,-2,-2,0,-1,2,2,1,1,0,1,-3,-2,-3,-2
female,22,1,0,2,2,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,1,2,2,1,2,1,1,1,1
male,49,0,0,-3,-3,-3,-3,0,-1,-2,0,-2,-3,-3,-2,-1,0,0,1,1,0,0,2,2,1,-2,2,2,2,1,1
male,59,0,0,0,0,0,0,0,-1,-1,-2,-2,-2,-3,-3,0,-2,-1,-2,2,-3,0,3,2,3,1,1,3,3,3,3
male,40,0,0,-3,3,0,3,-3,-2,-2,-3,-2,-3,-3,-2,-3,-3,-3,-3,0,-2,0,2,3,3,-3,3,2,2,3,3
female,32,0,0,-3,-3,-2,2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-2,-1,2,3,3,2,3,3,2,3,3
male,56,0,0,-2,0,2,2,1,0,-1,0,-1,1,0,1,1,1,1,1,1,0,1,1,2,2,2,2,2,2,2,2
female,35,0,1,-1,-1,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,0,0,-2,-2,-3,-3,-3,-3,3,3,3,3,3,3,3,3
male,33,1,0,2,2,2,-3,-2,-3,-3,-3,-3,-3,-3,-3,0,-1,-2,-2,-2,-2,-3,1,3,3,0,3,2,2,3,3
male,59,0,0,0,0,0,0,0,0,-3,-3,-3,-3,-3,-3,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3
male,47,0,1,1,2,1,2,1,-1,-1,-1,0,-1,-1,-2,2,1,-3,-3,1,-1,-1,2,1,3,3,3,0,-1,1,0
male,42,0,0,-2,-2,0,2,2,2,0,-1,1,2,-1,1,2,2,2,2,3,0,2,3,1,1,-1,-1,1,1,2,0
male,18,1,0,3,3,2,3,2,1,1,0,-1,1,-1,0,1,1,0,-1,3,1,1,2,2,0,-1,2,1,0,1,1
female,25,0,0,-3,0,0,0,-1,-3,-3,-3,-3,-2,-3,-3,1,0,-1,-3,-2,-3,0,0,3,0,0,1,2,3,2,2
